seg_id,code_v6,v6_evidence,v6_confidence,v6_flag
V9-00802,ADOPT.experience,"reduce service charges for transaction costs like cash transfer, credit card payment fees",0.82,
V9-00803,ADOPT.experience,increase the efficiency of financial services across the Republic of Palau,0.72,
V9-00804,OTHER.keep,reduce energy consumption it takes to transport currency,0.85,
V9-00805,CASH.relation,Cash (the US Dollar) will still be used in the Republic of Palau,0.93,
V9-00809,SYS.design,"one PSC is backed by a dollar in cash, treasury securities or other safe assets, and thus redeemable on demand",0.84,
V9-00816,CASH.relation,use as a means of payment,0.55,
V9-00817,CASH.relation,continue to provide cash as long as there is public demand,0.82,evidence_not_verbatim
V9-00832,OPS.resilience,"more robust in the event of disruptions to, for instance, the system for card payments",0.85,
V9-00833,ADOPT.experience,"primarily intended for smaller payments between consumers, companies and authorities",0.78,
V9-00836,CASH.relation,government-guaranteed means of payment without credit risk,0.8,
V9-00837,ADOPT.experience,complement to the payment forms that are currently offered in the private sector,0.72,
V9-00838,OPS.resilience,alternative means of payment in a crisis situation,0.78,
V9-00841,SYS.design,constitutes a claim on the central bank (the Riksbank),0.82,
V9-00842,ADOPT.experience,"electronically available 24 hours a day, 7 days a week, 365 days a year",0.75,
V9-00843,ACCESS.universal,"available to the general public, i.e. is more broadly available than traditional central bank deposits",0.85,
V9-00844,CASH.relation,"Like cash, an e-krona is a direct claim on the Riksbank",0.9,
V9-00845,SYS.design,"depend on how it is designed, which characteristics it has and how it is provided",0.75,
V9-00847,SYS.design,register-based solution is deemed to be more complex,0.82,
V9-00851,SYS.design,determine the supply of e-krona in the same way as they currently determine the supply of banknotes,0.78,
V9-00852,OPS.resilience,"function independently of the commercial, bank-owned infrastructure",0.85,
V9-00853,CASH.relation,seen as a complement to cash,0.97,
V9-00855,INTEROP.domestic,platform for the settlement of large-value payments between financial institutions,0.95,
V9-00859,CASH.relation,modernisation of the Riksbank's means of payment when large group in society no longer wish to use banknotes and coins,0.92,
V9-00862,SYS.design,e-krona is a claim on the Riksbank and guaranteed by the government,0.82,
V9-00869,INTEROP.crossborder,Interoperability with technical infrastructure and other digital solutions abroad,0.96,
V9-00888,SYS.design,issues banknotes and coins in the volume demanded by the general public and the same should apply to an e-krona,0.8,
V9-00892,ADOPT.experience,e-krona is not unduly favoured in the competition with private payment services,0.78,
V9-00894,ADOPT.experience,e-krona shall bear its own costs and not be unduly favoured,0.78,
V9-00906,ADOPT.experience,ensure that it can be used for payment of tax,0.8,
V9-00913,SYS.design,"new electronic means of payment issued by the Riksbank, an e-krona, would counteract the problems",0.72,
V9-00914,OPS.resilience,"function independently of the commercial, bank-owned infrastructure",0.88,
V9-00915,ACCESS.universal,ensure that the general public has access to central bank money,0.85,
V9-00917,SYS.design,"direct claim on the Riksbank, is specified in Swedish kronor and can be held by financial institutions, companies and members of the general public",0.88,
V9-00920,SYS.design,supply of e-kronas shall be determined by demand for them,0.83,
V9-00921,INTEROP.domestic,Large payments will continue to be made through the RIX system,0.9,
V9-00923,SYS.design,"responsible at the very least for the issue, redemption and settlement",0.82,
V9-00936,ADOPT.experience,innovative uses emerge or there are signs that digital currencies,0.72,
V9-00941,SYS.design,"interact with the PBM wrapper for P2P transfer, payments etc",0.75,
V9-00944,INTEROP.domestic,common and open back-end platform that is fully interoperable with other existing payment systems,0.92,
V9-00948,SYS.design,PBMs attach conditions to existing payment instruments,0.8,
V9-00965,SYS.design,mints the digital SGD for the charity association's trustee account,0.83,
V9-00977,INTEROP.domestic,"Interoperability with e-wallets and payment networks, will enable PBM to be distributed widely",0.88,
V9-00985,SYS.design,common lifecycle stages across different programming languages and network protocols,0.81,
V9-00992,INTEROP.domestic,"interoperable across different platforms, wallets, payment systems and rails",0.87,
V9-00993,SYS.design,development of an open-sourced technical framework for PBM,0.78,
V9-00994,SYS.design,standard data-exchange and API specification could be defined between wallet providers and PBM creators,0.82,
V9-01010,ADOPT.experience,merchants receive their payout immediately when a voucher is used,0.8,
V9-01015,INTEROP.domestic,common settlement infrastructure such as MEPS+ that allows for new capabilities such as atomic settlement,0.91,
V9-01016,INTEROP.domestic,"wider range of financial institutions, including stablecoin issuers, can gain access to central bank liabilities for settlement",0.88,
V9-01017,INTEROP.domestic,holders of digital SGD would not need to go-off chain to access central bank money,0.83,
V9-01020,ADOPT.experience,"overall transaction cost should be low, or minimally lower",0.72,
V9-01024,OPS.resilience,credentials management module by an accountable party to preserve the private keys,0.75,
V9-01026,SYS.design,create an ephemeral Crypto Wallet for the holder and map this wallet,0.82,
V9-01038,ADOPT.experience,design for possible integrations with SGQR in the future,0.78,
V9-01039,ADOPT.experience,keep the user experience simple for merchants,0.88,
V9-01042,ACCESS.universal,target users were assumed to be digitally savvy and paper vouchers would not need to be catered for,0.7,
V9-01044,SYS.design,design choice of ERC-1155 is intentional to maximize flexibility to accommodate different types of PBM structures,0.87,
V9-01046,INTEROP.domestic,PBM is interoperable with both custodial and non-custodial wallets that support ERC-1155,0.78,
V9-01063,INTEROP.domestic,integrate with a regulated digital currency settlement rail,0.82,
V9-01067,INTEROP.crossborder,"currency that is ""fully and freely convertible""",0.75,
V9-01068,SYS.design,development and implementation of e-MOP will focus on retail payment scenarios,0.72,
V9-01070,SYS.design,UOB will be responsible for implementing Digital SGD Smart Contract,0.83,
V9-01080,SYS.design,serve as a retail or general purpose CBDC for domestic payment transactions,0.78,
V9-01081,ACCESS.universal,secure access to central bank-issued money available by the public,0.82,
V9-01086,INTEROP.crossborder,designed such that it is able to support cross-border functionality,0.95,
V9-01087,ADOPT.experience,usage of Digital Lilangeni needs to be as easy and intuitive as possible,0.88,
V9-01089,ACCESS.universal,"accessible to everyone, anywhere and anytime regardless of economic and social status",0.95,
V9-01093,CASH.relation,Digital Lilangeni would be a strong contender of cash,0.82,
V9-01094,ADOPT.experience,"payments can be made from one person to another (P2P), as well as between individuals and merchants",0.85,
V9-01095,ADOPT.experience,payments can be sent as well as requested/received. Using QR codes,0.83,
V9-01098,SYS.design,only entity to mint and to redeem CBDC,0.9,
V9-01102,CASH.relation,complementary to notes and coins,0.88,
V9-01103,CASH.relation,"As legal tender, the potential Digital Lilangeni acts as an enabling platform",0.8,
V9-01108,INTEROP.domestic,bank account can be linked to the Digital Lilangeni wallet,0.9,
V9-01109,CASH.relation,"convertibility to physical cash at any time, allowing them to switch from digital to physical",0.95,
V9-01111,SYS.design,smart card needs to go online to reconcile the transaction history,0.82,
V9-01112,ACCESS.universal,"broaden the accessibility of CBDC to a larger population, ensuring that individuals, irrespective of their technological knowledge",0.93,
V9-01113,SYS.design,adaptable to this form factor to perform Digital Lilangeni payments,0.72,
V9-01114,ADOPT.experience,keep the barriers to entry for merchants as low as possible,0.87,
V9-01115,INTEROP.domestic,Conversion to the CBDC infrastructure should at best be possible on the basis of the existing terminals,0.84,
V9-01117,OTHER.keep,unique use case for the region for any potential CBDC engagements,0.45,
V9-01118,ADOPT.experience,"use their existing payment infrastructure (i.e., feature phone)",0.72,
V9-01119,INTEROP.domestic,payment system between the citizens of Eswatini and the government,0.65,
V9-01120,INTEROP.domestic,"tax payments, can be processed digitally with CBDC in real time",0.68,
V9-01122,INTEROP.crossborder,designed in line with international standards to enable cross-border interoperability,0.95,
V9-01124,CASH.relation,naturally coexist with other payment mechanisms to make the system more robust,0.62,
V9-01125,ACCESS.universal,always available to all citizens of Eswatini and in all areas,0.92,
V9-01128,ACCESS.universal,integration of Digital Lilangeni into the USSD system can also serve as a significant driver for financial inclusion,0.88,
V9-01131,CASH.relation,"full legal tender status, meaning that it should be accepted as a medium of payment",0.88,
V9-01133,INTEROP.domestic,"interoperability amongst existing payment methods especially, in the absence of a domestic payments switch",0.87,
V9-01137,INTEROP.crossborder,"cross-border CBDC could support international trade, make remittance payments more effective",0.96,
V9-01138,OPS.resilience,Digital Lilangeni should be available on a 24/7/365 basis with no scheduled downtime,0.95,
V9-01140,INTEROP.crossborder,"convertibility to ZAR, in its currently existing form or any potential digital form",0.78,
V9-01141,INTEROP.crossborder,making the potential Digital Lilangeni interoperable with the CBDCs of other jurisdictions,0.97,
V9-01142,INTEROP.crossborder,participate in intraregional and international cross-border CBDC projects,0.97,
V9-01150,SYS.design,provides the core infrastructure and manages the core system,0.87,
V9-01151,SYS.design,mints the Digital Lilangeni and is also the only entity that can destroy it,0.88,evidence_not_verbatim
V9-01157,ADOPT.experience,offer and manage CBDC-wallets in different user interfaces,0.82,
V9-01160,ADOPT.experience,"making digital payments between one another (P2P), paying at the merchant checkout",0.85,
V9-01161,OPS.resilience,separated into a highly secure air-gapped offline environment,0.87,
V9-01162,OPS.resilience,Authenticated and encrypted communication channels between FSPs and merchants,0.88,
V9-01163,OPS.resilience,security of smart cards as well as POS terminals is ensured by five layers,0.85,
V9-01165,SYS.design,two-tier hybrid model in which the CBE is the sole issuer,0.91,
V9-01166,CASH.relation,"like banknotes and coins today, a direct claim on the CBE",0.9,
V9-01169,INTEROP.domestic,CBDC integration into a USSD based system,0.78,
V9-01178,OTHER.keep,capacity to create opportunities out of new technological potentials,0.72,
V9-01184,SYS.design,Design and development of a digital wallet application for digital Turkish lira,0.8,
V9-01186,INTEROP.crossborder,cross-border level still needs some further investigation,0.83,
V9-01191,INTEROP.domestic,continuous convertibility between digital and other forms of the Turkish lira,0.87,
V9-01195,STAB.disintermediation,should not aim to compete with existing financial products and services,0.78,
V9-01207,SYS.design,hardware wallets may also be introduced,0.82,
V9-01213,SYS.design,Abstraction Layer in the Digital Turkish Lira Project is to increase the modularity,0.88,
V9-01228,CASH.relation,not compete with existing payment alternatives and products but can be positioned as an alternative service,0.78,
V9-01237,CASH.relation,a digital version of the banknote,0.87,
V9-01238,SYS.design,Account numbers of personal and corporate users are derived from the DID values,0.83,
V9-01247,INTEROP.domestic,facilitate integration with advanced technology environments such as the Internet of Things,0.62,
V9-01248,ADOPT.experience,"user can transfer funds, make payments, request funds, query transaction history",0.85,
V9-01249,SYS.design,ownership of the money can be proved through the wallet application,0.78,
V9-01252,ADOPT.experience,money can be sent to the DID value of the counterparty or to the alias,0.75,
V9-01260,SYS.design,working on its own national standards in case digital currency systems become more common,0.7,
V9-01265,CASH.relation,reduce the overall costs of banknote issuance and operations of currency in circulation,0.85,
V9-01266,INTEROP.domestic,ensuring interoperability between components,0.76,
V9-01267,SYS.design,"modular structure of the system, each component is easily replaceable",0.88,
V9-01271,SYS.design,architecture and design of the digital Turkish lira is yet to be finalized,0.85,
V9-01272,OTHER.keep,a decision will be made on its circulation,0.72,
V9-01278,OPS.resilience,hardware wallets or smart cards that support some form of wireless communication,0.62,
V9-01279,OPS.resilience,resistant to double-spending or forging attacks,0.88,
V9-01285,OPS.resilience,design of the cryptographic architecture is the most fundamental and important pillar,0.75,
V9-01292,INTEROP.domestic,Deposits can be converted into digital Turkish lira and digital Turkish lira can be converted into deposits,0.95,
V9-01293,INTEROP.domestic,"integrated with mobile applications, ATMs, and systems that maintain deposits",0.92,
V9-01302,SYS.design,modularity approach aims to avoid dependence on any single technology,0.82,
V9-01313,CASH.relation,digital Turkish lira will be complementary to the existing currency form,0.95,
V9-01314,ADOPT.experience,serve as the basis for innovations that will be the source of productivity increases,0.72,
V9-01320,SYS.design,"direct distribution retail CBDC, as this is considered to potentially be the most disruptive",0.8,
V9-01328,INTEROP.domestic,enhancing interbank settlement efficiency,0.85,
V9-01334,SYS.design,selecting of effective CBDC model adequately suitable to strategic goals,0.78,
V9-01336,SYS.design,studying the possibility of issuing its own CBDC,0.7,
