statement_id,model,request_id,unit_id,doc_id,page,stratum,block_id,quote,quote_en,code1,odr,privacy_direction,privacy_relation,strength,source_mode,assignment_status,best_score,match_method,matched_field,gold_id,paragraph_id,gold_truth,reference_code,exact_code_match
codex:CAL-009-U01:S003,codex,CAL-R0002,CAL-009-U01,IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,9,probability,CAL-009-P0009-B01,"Additionally, there may be additional advanced service providers (ASPs) that end users are not required to 
interact with, although they will be able to provide end users with additional services, including information 
services, conditional payments, or other innovative payment applications.",,PROG.generic,proposal,neutral,not_applicable,2,text,unassigned,1.0,normalized_contains,quote,,,,,False
codex:CAL-012-U01:S001,codex,CAL-R0002,CAL-012-U01,IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,23,probability,CAL-012-P0023-B01,"the 
central bank will act as an intermediary between the two entities and will execute the debit 
operation from the FI's digital shekel wallet and, in parallel, the credit operation to the end user's 
digital shekel wallet.",,SYS.design,proposal,neutral,not_applicable,2,text,unassigned,0.535912,fuzzy_character,quote,,,,,False
codex:CAL-012-U01:S002,codex,CAL-R0002,CAL-012-U01,IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,23,probability,CAL-012-P0023-B01,"Since the issuance of digital shekels is performed directly from the central 
bank to the end user's wallet, this situation deviates from the indirect distribution model 
mentioned in the previous section .",,SYS.design,proposal,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G012,P01,positive,,False
codex:CAL-012-U01:S003,codex,CAL-R0002,CAL-012-U01,IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,23,probability,CAL-012-P0023-B01,"It is possible that the generic solution presented above will enable conversions of low amounts, up to certain 
thresholds which will be determined on the basis of, among other things, issues related to AML/CFT.",,AML.LIMIT,proposal,neutral,not_applicable,2,text,assigned,1.0,fuzzy_character,quote,G012,P03,positive,,False
codex:CAL-012-U01:S004,codex,CAL-R0002,CAL-012-U01,IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,23,probability,CAL-012-P0023-B01,"For 
higher amounts, the solution will be based on the two -step process outlined above, requiring deposit to or 
withdrawal from the end user's bank account.",,CASH.relation,proposal,neutral,not_applicable,2,text,unassigned,1.0,normalized_contains,quote,,,,,False
codex:CAL-013-U01:S001,codex,CAL-R0003,CAL-013-U01,ID_Indonesia_2023a,5,probability,CAL-013-P0005-B01,"On the
first stage (immediate state), Bank Indonesia
develops wholesale Digital Rupiah (w-Digital
Rupiah) cash ledger (issuance, redemption, and
transference of funds use cases).",,SYS.design,decision,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G013,P02,excluded,,False
codex:CAL-013-U01:S002,codex,CAL-R0003,CAL-013-U01,ID_Indonesia_2023a,5,probability,CAL-013-P0005-B01,"On the next
stage (intermediate state), Bank Indonesia will
expand the w-Digital Rupiah use cases to include
broader types of financial market transactions.",,SYS.design,decision,neutral,not_applicable,3,text,unassigned,1.0,normalized_contains,quote,,,,,False
codex:CAL-013-U01:S003,codex,CAL-R0003,CAL-013-U01,ID_Indonesia_2023a,5,probability,CAL-013-P0005-B01,"Lastly, on the final stage (end state), Bank
Indonesia will pilot the integrated end-to-end
design of w-Digital Rupiah and retail Digital
Rupiah (r-Digital Rupiah).",,SYS.design,decision,neutral,not_applicable,3,text,unassigned,0.746154,fuzzy_character,quote,,,,,False
codex:CAL-014-U01:S001,codex,CAL-R0003,CAL-014-U01,EU_ECB_ThirdProgress_2025,8,probability,CAL-014-P0008-B01,"In the kick-off session the ECB reiterated the
Eurosystem’s commitment to creating a digital euro that benefits the private sector – both PSPs and
merchants – while guaranteeing access and usability for all citizens.",,ACCESS.universal,decision,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G014,P03,positive,ADOPT.experience,False
codex:CAL-019-U01:S001,codex,CAL-R0004,CAL-019-U01,IN_RBI_ConceptNote_2022,45,probability,CAL-019-P0045-B01,"Under the intermediate 
model, commercial banks may be best placed 
to conduct AML/CFT checks and the 
responsibility for compliance with AML/CFT 
guidelines should rest with them.",,KYC.INTERMED,proposal,neutral,not_applicable,3,text,unassigned,0.37415,fuzzy_character,quote,,,,,False
codex:CAL-019-U01:S002,codex,CAL-R0004,CAL-019-U01,IN_RBI_ConceptNote_2022,45,probability,CAL-019-P0045-B01,"Opening and 
maintenance of CBDC accounts with 
commercial banks would not require any 
change in the current AML/ CFT guidelines 
unless there is a new Financial Action Task 
Force (FATF) recommendation specifically for 
CBDCs.",,AML.FATF,proposal,neutral,not_applicable,2,text,unassigned,0.676471,fuzzy_token,quote,,,,,False
codex:CAL-019-U01:S003,codex,CAL-R0004,CAL-019-U01,IN_RBI_ConceptNote_2022,45,probability,CAL-019-P0045-B01,"This arrangement means that the Bank 
would not hold granular personal data on any 
user, reducing the privacy concerns that could 
arise in connection with holding personal user 
data, but AML requirements could still be met by 
the CBDC system as a whole.",,PRIV.CB.visibility.opaque,proposal,increases,from_state,2,text,assigned,0.898551,fuzzy_character,quote,G019,P03,positive,,False
codex:CAL-019-U01:S004,codex,CAL-R0004,CAL-019-U01,IN_RBI_ConceptNote_2022,45,probability,CAL-019-P0045-B01,"It needs to be ensured that the ultimate 
responsibility for Customer Due Di ligence 
(CDD) is clearly delineated in the framework.",,KYC.INTERMED,proposal,neutral,not_applicable,2,text,assigned,1.0,fuzzy_character,quote,G019,P04,positive,,False
codex:CAL-019-U01:S005,codex,CAL-R0004,CAL-019-U01,IN_RBI_ConceptNote_2022,45,probability,CAL-019-P0045-B01,"The design of the CBDC should have 
the embedded mechanism for identifying and 
monitoring the transactions , as per the 
threshold limit as applicable in case of cash, to 
maintain the financial sector integrity.",,AML.MON,proposal,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G019,P05,positive,,False
codex:CAL-019-U01:S006,codex,CAL-R0004,CAL-019-U01,IN_RBI_ConceptNote_2022,45,probability,CAL-019-P0045-B01,"CBDC would need to be 
compliant with AML regulations, which rules out 
truly anonymous payments.",,PRIV.ANON,proposal,decreases,from_state,3,text,assigned,1.0,normalized_contains,quote,G019,P07,positive,,False
codex:CAL-027-U01:S001,codex,CAL-R0005,CAL-027-U01,TR_Turkey_Digital_Turkish_Lira_First_Phase_Evaluation_Report,34,probability,CAL-027-P0034-B01,"The wallet application12 is the end user’s access point to the system. Through 
the mobile application, the user can transfer funds, make payments, request 
funds, query transaction history and view owned VCs.",,SYS.design,decision,neutral,not_applicable,3,text,assigned,0.909091,fuzzy_token,quote,G027,P02,positive,,False
codex:CAL-027-U01:S002,codex,CAL-R0005,CAL-027-U01,TR_Turkey_Digital_Turkish_Lira_First_Phase_Evaluation_Report,34,probability,CAL-027-P0034-B01,"In online payments, while ownership of the money can be proved through 
the wallet application, the money and ownership information are stored 
in the digital currency system. In offline payments, the money itself will be 
available on user-managed wallet devices.",,SYS.design,decision,neutral,not_applicable,3,text,unassigned,0.546296,fuzzy_character,quote,,,,,False
codex:CAL-027-U01:S003,codex,CAL-R0005,CAL-027-U01,TR_Turkey_Digital_Turkish_Lira_First_Phase_Evaluation_Report,34,probability,CAL-027-P0034-B01,"A user of the digital currency system must first have a DID value that 
identifies them.",,SYS.design,decision,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G027,P03,positive,,False
codex:CAL-027-U01:S004,codex,CAL-R0005,CAL-027-U01,TR_Turkey_Digital_Turkish_Lira_First_Phase_Evaluation_Report,34,probability,CAL-027-P0034-B01,"In transfer and payment transactions, money can be sent to the DID value 
of the counterparty or to the alias assigned to the DID value. At the same 
time, these transactions can also be executed with a QR code. The QR codes 
used in the system have been designed in compliance with the TR QR code 
standard.",,INTEROP.domestic,decision,neutral,not_applicable,2,text,assigned,1.0,normalized_equal,quote,G027,P04,positive,,False
codex:CAL-027-U01:S005,codex,CAL-R0005,CAL-027-U01,TR_Turkey_Digital_Turkish_Lira_First_Phase_Evaluation_Report,34,probability,CAL-027-P0034-B01,"The private key is used to 
prove the authorization for the created account. Therefore, the private key 
should be handled in such a way that it is not shared with anyone.",,OPS.resilience,proposal,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G027,P05,positive,,False
codex:CAL-028-U01:S001,codex,CAL-R0005,CAL-028-U01,CN_China_BIS_2022,197,probability,CAL-028-P0197-B01,"We decided to increase our efforts to experiment with the limits of technologies 
by utilising technologies such as blockchain, whi ch are emerging fast with potential 
to play a role in payments.",,TECH.DLT,decision,neutral,not_applicable,2,text,assigned,1.0,fuzzy_character,quote,G028,P06,excluded,,False
codex:CAL-029-U01:S001,codex,CAL-R0005,CAL-029-U01,CN_China_BIS_2022,117,probability,CAL-029-P0117-B01,"This experiment adopts and examines : (i) hybrid architecture ; and (ii) DLT -
method ledger management as a basic model",,SYS.design,decision,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G029,P05,excluded,,False
codex:CAL-029-U01:S002,codex,CAL-R0005,CAL-029-U01,CN_China_BIS_2022,117,probability,CAL-029-P0117-B01,"This experiment adopts and examines : (i) hybrid architecture ; and (ii) DLT -
method ledger management as a basic model",,TECH.DLT,decision,neutral,not_applicable,2,text,unassigned,1.0,normalized_contains,quote,,,,,False
codex:CAL-030-U01:S001,codex,CAL-R0005,CAL-030-U01,NZ_RBNZ_cbdc-insights-dossier-for-public-1,48,probability,CAL-030-P0048-B01,"RBNZ’s initial preference is to ensure that users have the right level of control over their own data whilst also not inhibiting innovation in the right places. Users should own their data and start opted out, with clear opt-in options supported by a consent framework similar to the future NZ Consumer Data Right framework. This would allow intermediaries to offer innovative services to benefit users consenting to share their data.",,PRIV.BAL,proposal,conditional,from_intermediary,2,text,assigned,1.0,normalized_equal,quote,G030,P05,positive,,False
codex:CAL-030-U01:S002,codex,CAL-R0005,CAL-030-U01,NZ_RBNZ_cbdc-insights-dossier-for-public-1,48,probability,CAL-030-P0048-B01,RBNZ’s initial preference is to ensure wide adoption of CBDC without inhibiting organic innovation opportunities. Users will be able to spend/transfer/receive CBDC using a payment method at the point of interaction that meets their needs,,ADOPT.experience,proposal,neutral,not_applicable,2,text,assigned,1.0,raw_contains,quote,G030,P02,positive,ADOPT.experience,True
codex:CAL-032-U01:S001,codex,CAL-R0006,CAL-032-U01,US_NYFed_CedarPhaseOne_2022,4,probability,CAL-032-P0004-B01,"Phase I of the Project Cedar experiment examined 
the potential application of distributed ledger technology (DLT), specifically 
blockchain, to enhance the functioning of wholesale cross-border payments.",,TECH.DLT,decision,neutral,not_applicable,2,text,unassigned,0.116959,fuzzy_character,quote,,,,,False
codex:CAL-032-U01:S002,codex,CAL-R0006,CAL-032-U01,US_NYFed_CedarPhaseOne_2022,4,probability,CAL-032-P0004-B01,"Under simulated test scenarios based on market throughput estimates, FX spot 
trades were atomically settled in under ten seconds, validating the project 
objectives of enabling instant and atomic settlement using DLT",,INTEROP.crossborder,finding,neutral,not_applicable,3,text,unassigned,0.0,none,,,,,,False
codex:CAL-032-U01:S003,codex,CAL-R0006,CAL-032-U01,US_NYFed_CedarPhaseOne_2022,4,probability,CAL-032-P0004-B01,"Test results from the experiment revealed that the blockchain-enabled 
payments system settles transactions in fewer than ten seconds on average 
and that throughput across the system increases as additional currencies are 
included.",,PROC.pilot_learning,finding,neutral,not_applicable,3,text,unassigned,0.0,none,,,,,,False
codex:CAL-032-U01:S004,codex,CAL-R0006,CAL-032-U01,US_NYFed_CedarPhaseOne_2022,4,probability,CAL-032-P0004-B01,"Phase I of Project Cedar was 
designed around a multi-ledger construct in which each currency was 
maintained on a separate ledger, operated by its respective simulated central 
bank.",,SYS.design,decision,neutral,not_applicable,2,text,unassigned,0.0,none,,,,,,False
codex:CAL-032-U01:S005,codex,CAL-R0006,CAL-032-U01,US_NYFed_CedarPhaseOne_2022,4,probability,CAL-032-P0004-B01,"The Phase I prototype included design choices such 
as a permissioned blockchain network, an Unspent Transaction Output (UTXO) 
data model, and Rust as the primary programming language.",,TECH.DLT,decision,neutral,not_applicable,2,text,unassigned,0.0,none,,,,,,False
codex:CAL-033-U01:S001,codex,CAL-R0006,CAL-033-U01,EU_ECB_2024,2,probability,CAL-033-P0002-B01,"The rulebook is essential to ensure that digital euro payments are accepted 
throughout the euro area, just like cash payments, and will work in a harmonised 
manner.",,INTEROP.domestic,proposal,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G033,P05,excluded,,False
codex:CAL-035-U01:S001,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,• BoG is the issuer of the eCedi,,INST.mandate,proposal,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G035,P01,positive,,False
codex:CAL-035-U01:S002,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"• Commercial banks are in charge of the distribution
• FinTechs are authorized to provide wallets/services",,SYS.design,proposal,neutral,not_applicable,3,text,unassigned,1.0,normalized_contains,quote,,,,,False
codex:CAL-035-U01:S003,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"The eCedi has to provide transparency of 
consumers and transactions in order to mitigate 
money laundering in the eCedi ecosystem.",,AML.MON,proposal,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G035,P04,positive,,False
codex:CAL-035-U01:S004,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"One of the eCedi’s 
technical solutions addressing cyber-attack 
prevention is the separation of the issuance and 
distribution modules of the core infrastructure.",,OPS.resilience,proposal,neutral,not_applicable,3,text,unassigned,1.0,normalized_contains,quote,,,,,False
codex:CAL-035-U01:S005,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"The 
eCedi will also be scalable to handle large volumes 
of transactions and provide 24/7 availability and 
support instant payments.",,OPS.resilience,decision,neutral,not_applicable,3,text,unassigned,1.0,normalized_contains,quote,,,,,False
codex:CAL-035-U01:S006,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"As eCedi is considered 
to be a legal tender it has to be accessible and 
trusted by everyone, hence merchants and 
enterprises within a country have to accept the 
eCedi for payments.",,LEGAL.basis,proposal,neutral,not_applicable,3,text,unassigned,0.65625,fuzzy_token,quote,,,,,False
codex:CAL-035-U01:S007,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"For this 
reason, the possibility of offline transactions is a 
relevant requirement.",,ACCESS.universal,proposal,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G035,P06,positive,,False
codex:CAL-035-U01:S008,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"The eCedi therefore has to be integrated 
into existing infrastructure and payment 
instruments.",,INTEROP.domestic,proposal,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G035,P07,positive,INTEROP.domestic,True
codex:CAL-035-U01:S009,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"The various existing electronic and 
mobile payment solutions will therefore have to 
be interoperable with the eCedi to enable their 
utilization of the eCedi.",,INTEROP.domestic,proposal,neutral,not_applicable,3,text,unassigned,1.0,normalized_contains,quote,,,,,False
codex:CAL-035-U01:S010,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"Last but not least, the eCedi should support 
programmable use cases to enable innovation and 
new business models while maintaining the trust of 
the people.",,PROG.generic,proposal,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G035,P08,positive,,False
codex:CAL-035-U01:S011,codex,CAL-R0006,CAL-035-U01,GH_Ghana_2021,25,probability,CAL-035-P0025-B01,"From the foregoing, it is obvious that the eCedi 
must be a close resemblance of cash in addition 
to having the capability for online transactions 
among other similar features.",,CASH.relation,proposal,neutral,not_applicable,2,text,unassigned,1.0,normalized_contains,quote,,,,,False
codex:CAL-036-U01:S001,codex,CAL-R0006,CAL-036-U01,CN_China_BIS_2022,101,probability,CAL-036-P0101-B01,"Bank Indonesia plans to issue CBDC 
as a response to three key drivers: first, “to emphasise BI’s role as the country’s sole 
authority for currency issuance, including in digital form, to maintain monetary 
sovereignty”",,LEGAL.basis,proposal,neutral,not_applicable,3,text,unassigned,0.573864,fuzzy_character,quote,,,,,False
codex:CAL-036-U01:S002,codex,CAL-R0006,CAL-036-U01,CN_China_BIS_2022,101,probability,CAL-036-P0101-B01,"Other 
challenges for rCBDC include the adoption and inclusion issue: it should be possible 
to distribute rCBDC to a broader user group, including residents in remote areas, with 
the ability to meet the service level agreement requirements.",,ACCESS.universal,proposal,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G036,P01,positive,TECH.TOKEN.decided_no,False
codex:CAL-036-U01:S003,codex,CAL-R0006,CAL-036-U01,CN_China_BIS_2022,101,probability,CAL-036-P0101-B01,"On  the rCBDC side, the 
implementation of r CBDC might entail cyber security and technology risks.",,OPS.resilience,proposal,neutral,not_applicable,2,text,unassigned,0.575,fuzzy_character,quote,,,,,False
codex:CAL-036-U01:S004,codex,CAL-R0006,CAL-036-U01,CN_China_BIS_2022,101,probability,CAL-036-P0101-B01,"Other potential risk s 
include disintermediation and bank run  since CBDC would play a substantial role in 
facilitating the conversion of assets from commercial  bank money to central bank 
money.",,STAB.disintermediation,proposal,neutral,not_applicable,2,text,unassigned,0.969325,fuzzy_character,quote,,,,,False
codex:CAL-036-U01:S005,codex,CAL-R0006,CAL-036-U01,CN_China_BIS_2022,101,probability,CAL-036-P0101-B01,"Unlike private or foreign digital currency, 
sovereign CBDC would provide  the public with a direct claim on the central bank , 
which would ensure trust and improve the functioning of the monetary system.",,SYS.design,proposal,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G036,P04,excluded,,False
codex:CAL-036-U01:S006,codex,CAL-R0006,CAL-036-U01,CN_China_BIS_2022,101,probability,CAL-036-P0101-B01,"The implementation of CBDC should not be 
counterproductive to the central bank fulfilling its  existing mandate by addressing 
the aforementioned issues with appropriate policy.",,STAB.disintermediation,proposal,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G036,P05,excluded,,False
codex:CAL-037-U01:S001,codex,CAL-R0007,CAL-037-U01,CN_China_BIS_2022,33,probability,CAL-037-P0033-B01,"In 
this context, the issuance of a CBDC is not a priority, at least in the short term.",,OTHER.keep,decision,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G037,P07,excluded,,False
codex:CAL-038-U01:S001,codex,CAL-R0007,CAL-038-U01,JP_BoJ_Pilot_EN,6,probability,CAL-038-P0006-B01,"The system will be equipped with a series of basic functions that were also built into 
the system for the PoCs, namely, issuance, payout, credit transfer, acceptance, and 
redemption (Figure 4).",,SYS.design,decision,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G038,P02,positive,,False
codex:CAL-038-U01:S002,codex,CAL-R0007,CAL-038-U01,JP_BoJ_Pilot_EN,6,probability,CAL-038-P0006-B01,"In addition, the system will be equipped with auto-swing6 and 
auto-charge7 functions, which can be triggered at the time of transfer, and limit check 
functions against, for example, a holding limit .",,AML.LIMIT,decision,neutral,not_applicable,3,text,unassigned,0.61875,fuzzy_character,quote,,,,,False
codex:CAL-038-U01:S003,codex,CAL-R0007,CAL-038-U01,JP_BoJ_Pilot_EN,6,probability,CAL-038-P0006-B01,"Further, additional functions , such as scheduled transfer including batch transfer, 
debit transfer, and balance/transaction statement inquiry, which were built in to the 
system for PoC Phase 2, are also planned to be incorporated.",,SYS.design,proposal,neutral,not_applicable,2,text,assigned,1.0,fuzzy_character,quote,G038,P03,positive,,False
